,feature,encoding,weight,encoding_orig
320,vectortyp_kleinraum_Salamis,bin,0.0016181229773462784,nominal_multi
321,vectortyp_kleinraum_Chaironeia,bin,0.0016181229773462784,nominal_multi
322,vectortyp_kleinraum_Paestum,bin,0.0016181229773462784,nominal_multi
323,vectortyp_kleinraum_Vesuv,bin,0.0016181229773462784,nominal_multi
324,vectortyp_kleinraum_Langen,bin,0.0016181229773462784,nominal_multi
325,vectortyp_kleinraum_Kloster Lorch,bin,0.0016181229773462784,nominal_multi
326,vectortyp_kleinraum_Bremen,bin,0.0016181229773462784,nominal_multi
327,vectortyp_kleinraum_Anatolikon,bin,0.0016181229773462784,nominal_multi
328,vectortyp_kleinraum_Weißenburg,bin,0.0016181229773462784,nominal_multi
329,vectortyp_kleinraum_Gravelotte,bin,0.0016181229773462784,nominal_multi
330,vectortyp_kleinraum_Speier,bin,0.0016181229773462784,nominal_multi
331,vectortyp_kleinraum_Sedan,bin,0.0016181229773462784,nominal_multi
332,vectortyp_kleinraum_Eisleben,bin,0.0016181229773462784,nominal_multi
333,vectortyp_kleinraum_Würzburg,bin,0.0016181229773462784,nominal_multi
334,vectortyp_kleinraum_Porta Westfalica,bin,0.0016181229773462784,nominal_multi
335,vectortyp_kleinraum_Bornhöved,bin,0.0016181229773462784,nominal_multi
336,vectortyp_kleinraum_Soest,bin,0.0016181229773462784,nominal_multi
337,vectortyp_kleinraum_Metz,bin,0.0016181229773462784,nominal_multi
338,vectortyp_kleinraum_Donchéry,bin,0.0016181229773462784,nominal_multi
339,vectortyp_kleinraum_Sajo,bin,0.0016181229773462784,nominal_multi
340,vectortyp_kleinraum_Graz,bin,0.0016181229773462784,nominal_multi
341,vectortyp_kleinraum_Kloster Yuste,bin,0.0016181229773462784,nominal_multi
342,vectortyp_kleinraum_Prag,bin,0.0016181229773462784,nominal_multi
343,vectortyp_kleinraum_Sterzing,bin,0.0016181229773462784,nominal_multi
344,vectortyp_kleinraum_Santa Lucia,bin,0.0016181229773462784,nominal_multi
345,vectortyp_kleinraum_Keyeháza,bin,0.0016181229773462784,nominal_multi
346,vectortyp_kleinraum_Salzburg,bin,0.0016181229773462784,nominal_multi
347,vectortyp_kleinraum_Velehrad,bin,0.0016181229773462784,nominal_multi
348,vectortyp_kleinraum_Krakau,bin,0.0016181229773462784,nominal_multi
349,vectortyp_kleinraum_Burg Steier,bin,0.0016181229773462784,nominal_multi
350,vectortyp_kleinraum_Leitha,bin,0.0016181229773462784,nominal_multi
351,vectortyp_kleinraum_Frauenburg,bin,0.0016181229773462784,nominal_multi
352,vectortyp_kleinraum_Reun,bin,0.0016181229773462784,nominal_multi
353,vectortyp_kleinraum_Dürnkrut/Jedenspeigen,bin,0.0016181229773462784,nominal_multi
354,vectortyp_kleinraum_Crécy,bin,0.0016181229773462784,nominal_multi
355,vectortyp_kleinraum_Treviso,bin,0.0016181229773462784,nominal_multi
356,vectortyp_kleinraum_Triest,bin,0.0016181229773462784,nominal_multi
357,vectortyp_kleinraum_Mayerhofen,bin,0.0016181229773462784,nominal_multi
